feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_30d,missing_60d,missing_train,missing_valid,missing_test,abs_ic_30d,abs_ic_60d,max_abs_ic
mkt_volume_std_5d,시장 거래량 로그값 5일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.001851851851851852,0.0,0.0,0.03523863793271025,0.03314906072712911,0.03523863793271025
epsis_fuel_cost_monthly__fuel_price_anthracite_krw_per_ton,EPSIS 발전연료비 연료가격(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.0010844572878721957,0.02410486224901609,0.02410486224901609
epsis_power_trade_volume_monthly__trade_volume_fuel_cell_gwh,EPSIS 전력거래량 전력거래량(연료전지),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.0034953513574961514,0.01930249976164009,0.01930249976164009
epsis_fuel_cost_monthly__fuel_price_nuclear_krw_per_kwh,EPSIS 발전연료비 연료가격(원자력),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.003735346605843345,0.012830268028941636,0.012830268028941636
epsis_fuel_cost_monthly__fuel_cost_nuclear_krw_per_kwh,EPSIS 발전연료비 발전연료비(원자력),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.0027625843486102646,0.012791202193835706,0.012791202193835706
mkt_logret_lag_60d,시장 VWAP 로그수익률 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.025310410697230182,0.02651880424300868,0.05648148148148148,0.0,0.0,0.011195029698203376,0.00580724557749107,0.011195029698203376
epsis_power_supply_daily__installed_capacity_mw,EPSIS 전력수급 설비용량(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.004016207411404745,0.00870624597547663,0.00870624597547663
mkt_total_trdval_log1p,시장 총 거래대금 로그값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0014460471357129392,0.004924119929536489,0.004924119929536489
mkt_total_trdval,시장 총 거래대금,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0014460471357129392,0.004924119929536489,0.004924119929536489
epsis_fuel_cost_monthly__heat_price_nuclear_krw_per_gcal,EPSIS 발전연료비 열량단가(원자력),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.0027760141075253188,0.0021556598548608595,0.0027760141075253188
