feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
epsis_smp_monthly__blmp_krw_per_kwh,EPSIS SMP BLMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,1.0,False
epsis_smp_monthly__smp_jeju_krw_per_kwh,EPSIS SMP 제주 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_smp_monthly__smp_land_krw_per_kwh,EPSIS SMP 육지 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_smp_monthly__smp_total_krw_per_kwh,EPSIS SMP 전국 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
eua_daily__acc_trdvol,EUA 일별 가격 거래량,external_market,외부시장,raw.eua_daily,0.005159474671669793,0.0052531041069723014,0.005303760848601736,0.003703703703703704,0.006122448979591836,0.0071174377224199285,0.026874115983026876,True
eua_daily__clsprc,EUA 일별 가격 종가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0023452157598499064,True
eua_daily__hpr,EUA 일별 가격 고가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0023452157598499064,True
eua_daily__lpr,EUA 일별 가격 저가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0028142589118198874,True
eua_daily__opr,EUA 일별 가격 시가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0023452157598499064,True
kma_asos_weather_daily__avg_relative_humidity_pct,KMA 전국 ASOS 기상 평균 상대습도(%),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
